Proposal code,Origin period season sequence,Period,Rabobank Region,Crop,Crop Naics code,Crop naics descripion,Area,Noise1,Noise2,Noise3,Yield,Cost,Price,Financial information sequence,Last update,Esport date and time
1,4,8/2/2021,Barreiras,Cebola Sequeiro,115,non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis,4601,0.02,0.14,-0.59,231050.0,48810.0,-249.0,1/14/2021,3/5/2021,8/15/2021
2,1,11/21/2020,Barreiras,Cebola Sequeiro,38,nam dui proin leo odio porttitor id consequat in consequat ut,7989,-3.34,1.64,-0.21,232450.0,112690.0,-26.0,9/17/2020,8/13/2021,9/11/2021
3,3,3/30/2021,Barreiras,Melancia irrigada,15,morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla,913,-0.15,-0.35,-1.19,38150.0,2130.0,-586.0,10/2/2020,4/29/2021,9/12/2021
4,4,2/4/2021,Barreiras,Melancia irrigada,136,cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra,2021,-1.24,-0.43,1.32,39050.0,11610.0,680.0,9/17/2020,3/22/2021,4/28/2021
5,2,7/23/2021,Barreiras,Melancia irrigada,99,justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus,3755,0.38,0.21,-0.79,206750.0,41750.0,-358.0,7/21/2021,1/21/2021,7/10/2021
6,1,11/10/2020,Barreiras,Melancia irrigada,8,dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est,4091,-1.62,-0.65,0.23,123550.0,27910.0,155.0,6/26/2021,6/23/2021,10/23/2020
7,3,12/4/2020,Barreiras,Abobora Irrigada,120,in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque,8855,-1.32,-0.07,0.93,376750.0,87150.0,553.0,1/28/2021,5/20/2021,8/19/2021
8,1,5/18/2021,Barreiras,Cebola Sequeiro,55,ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur,3030,-0.8,-0.17,-0.73,111500.0,26900.0,-335.0,7/25/2021,3/17/2021,11/4/2020
9,2,5/19/2021,Barreiras,Abobora Irrigada,49,pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet,3284,-0.35,-0.22,-0.9,146700.0,28440.0,-418.0,6/27/2021,6/28/2021,1/7/2021
10,1,10/24/2020,Barreiras,Cebola Sequeiro,49,sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet,1841,-0.75,-1.26,-0.44,54550.0,-6790.0,-202.0,5/9/2021,4/29/2021,4/7/2021
11,2,1/1/2021,Barreiras,Melancia irrigada,133,luctus et ultrices posuere cubilia curae nulla dapibus dolor vel,4684,-0.17,0.89,0.33,225700.0,64640.0,211.0,10/5/2020,1/5/2021,8/26/2021
12,3,6/16/2021,Barreiras,Melancia irrigada,82,sed tristique in tempus sit amet sem fusce consequat nulla nisl,5005,-0.52,-1.08,0.66,224250.0,28450.0,380.0,10/6/2020,2/13/2021,12/2/2020
13,2,4/1/2021,Barreiras,Cebola Sequeiro,139,nisi at nibh in hac habitasse platea dictumst aliquam augue quam,3668,-0.02,-0.7,0.3,182400.0,22680.0,186.0,9/4/2021,7/25/2021,5/19/2021
14,2,3/19/2021,Barreiras,Cebola Sequeiro,115,convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci,9928,-0.64,1.18,-1.46,464400.0,122880.0,-631.0,10/12/2020,12/11/2020,8/27/2021
15,4,5/28/2021,Barreiras,Abobora Irrigada,71,sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris,3374,0.36,-2.21,-0.93,186700.0,-10460.0,-432.0,5/23/2021,8/21/2021,2/5/2021
16,1,11/9/2020,Barreiras,Cebola Sequeiro,145,vel augue vestibulum ante ipsum primis in faucibus orci luctus et,3373,0.56,0.03,-0.27,196650.0,34330.0,-102.0,7/6/2021,4/25/2021,3/21/2021
17,1,8/5/2021,Barreiras,Cebola Sequeiro,23,sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim,2541,-1.55,-0.0,-0.14,49550.0,25410.0,-45.0,12/31/2020,12/19/2020,1/1/2021
18,0,11/12/2020,Barreiras,Melancia irrigada,14,ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae,9476,0.33,-0.37,0.15,490300.0,87360.0,169.0,2/5/2021,7/15/2021,9/1/2021
19,3,4/29/2021,Barreiras,Melancia irrigada,5,sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus,9003,0.8,0.69,-1.92,490150.0,103830.0,-870.0,10/30/2020,7/31/2021,12/29/2020
20,4,4/27/2021,Barreiras,Melancia irrigada,146,turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin,1279,0.91,0.48,0.78,109450.0,22390.0,402.0,8/9/2021,11/27/2020,8/6/2021
21,2,10/15/2020,Barreiras,Cebola Sequeiro,59,nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id,3844,-0.41,0.72,0.53,171700.0,52840.0,303.0,6/6/2021,6/23/2021,10/20/2020
22,3,9/13/2020,Barreiras,Melancia irrigada,19,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur,5057,1.75,-0.38,0.64,340350.0,42970.0,370.0,2/5/2021,10/31/2020,3/2/2021
23,3,12/5/2020,Barreiras,Melancia irrigada,45,quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in,897,0.26,-0.35,0.55,57850.0,1970.0,283.0,11/19/2020,8/24/2021,9/7/2021
24,0,9/13/2020,Barreiras,Cebola Sequeiro,27,lobortis ligula sit amet eleifend pede libero quis orci nullam molestie,2392,1.41,0.34,-0.23,190100.0,30720.0,-92.0,10/29/2020,3/4/2021,5/31/2021
25,3,9/23/2021,Barreiras,Melancia irrigada,135,pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut,4882,-0.07,-0.65,-1.35,240600.0,35820.0,-627.0,4/6/2021,5/7/2021,9/25/2020
26,2,6/26/2021,Barreiras,Abobora Irrigada,3,sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed,5634,-0.4,0.97,0.7,261700.0,75740.0,406.0,10/6/2020,10/12/2020,10/25/2020
27,3,10/7/2020,Barreiras,Melancia irrigada,5,lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec,4274,-0.51,0.06,0.16,188200.0,43940.0,122.0,12/7/2020,1/19/2021,3/24/2021
28,0,6/17/2021,Barreiras,Cebola Sequeiro,81,gravida nisi at nibh in hac habitasse platea dictumst aliquam,8659,-0.22,0.19,-1.8,421950.0,90390.0,-814.0,11/10/2020,5/13/2021,6/7/2021
29,2,9/6/2021,Barreiras,Abobora Irrigada,70,vestibulum quam sapien varius ut blandit non interdum in ante,4323,-0.35,-1.46,-0.86,198650.0,14030.0,-387.0,4/4/2021,4/10/2021,11/23/2020
30,4,9/18/2020,Barreiras,Cebola Sequeiro,43,non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan,4265,-0.03,-0.48,-0.66,211750.0,33050.0,-288.0,10/9/2020,6/24/2021,9/24/2020
31,0,10/1/2020,Barreiras,Abobora Irrigada,0,posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor,1918,0.22,0.96,-1.62,106900.0,38380.0,-791.0,5/23/2021,9/7/2021,9/26/2020
32,1,2/26/2021,Barreiras,Melancia irrigada,19,congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien,3619,-0.03,-0.85,1.82,179450.0,19190.0,946.0,1/15/2021,1/3/2021,3/26/2021
33,1,6/21/2021,Barreiras,Melancia irrigada,13,quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt,6529,2.06,1.52,-2.54,429450.0,95690.0,-1205.0,7/30/2021,10/25/2020,10/18/2020
34,2,5/8/2021,Barreiras,Cebola Sequeiro,59,est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien,4023,0.27,2.06,-1.65,214650.0,81430.0,-785.0,7/18/2021,5/8/2021,1/2/2021
35,3,10/18/2020,Barreiras,Abobora Irrigada,47,quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus,2274,-2.42,0.86,0.18,-7300.0,39940.0,112.0,6/30/2021,8/10/2021,6/5/2021
36,0,10/30/2020,Barreiras,Melancia irrigada,143,in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec,2439,0.91,1.13,-0.59,167450.0,46990.0,-271.0,10/25/2020,1/1/2021,1/7/2021
37,3,10/1/2020,Barreiras,Cebola Sequeiro,80,nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere,5746,-0.77,2.91,0.15,248800.0,115660.0,132.0,3/7/2021,11/2/2020,8/27/2021
38,0,2/12/2021,Barreiras,Abobora Irrigada,95,ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non,8091,-0.75,-0.67,-0.59,367050.0,67510.0,-215.0,4/8/2021,9/26/2020,10/3/2020
39,0,6/16/2021,Barreiras,Melancia irrigada,24,id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit,106,0.48,0.3,-1.09,29300.0,7060.0,-544.0,12/26/2020,12/6/2020,2/23/2021
40,0,1/19/2021,Barreiras,Melancia irrigada,48,posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem,7120,-0.15,-1.17,-1.25,348500.0,47800.0,-554.0,10/12/2020,7/1/2021,8/27/2021
41,3,9/5/2021,Barreiras,Cebola Sequeiro,43,molestie sed justo pellentesque viverra pede ac diam cras pellentesque,8064,-0.7,-1.16,0.81,368200.0,57440.0,485.0,4/1/2021,8/10/2021,7/2/2021
42,3,9/4/2021,Barreiras,Abobora Irrigada,14,eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus,1190,-0.0,-0.24,-0.99,59500.0,7100.0,-484.0,1/12/2021,8/10/2021,3/4/2021
43,0,3/2/2021,Barreiras,Melancia irrigada,20,lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem,9858,1.55,-1.07,1.46,570400.0,77180.0,828.0,3/16/2021,9/8/2021,8/14/2021
44,1,6/19/2021,Barreiras,Melancia irrigada,128,mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa,7553,-0.33,-0.0,0.9,361150.0,75530.0,525.0,11/6/2020,5/29/2021,8/13/2021
45,2,9/29/2020,Barreiras,Melancia irrigada,101,lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque,1982,0.26,0.44,-0.03,112100.0,28620.0,4.0,11/28/2020,12/28/2020,6/3/2021
46,0,5/28/2021,Barreiras,Cebola Sequeiro,51,suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc,4097,-0.57,0.02,-1.33,176350.0,41370.0,-625.0,6/4/2021,1/4/2021,1/16/2021
47,4,4/7/2021,Barreiras,Melancia irrigada,63,lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique,4334,0.04,0.83,-1.7,218700.0,59940.0,-807.0,7/16/2021,12/9/2020,4/29/2021
48,0,12/4/2020,Barreiras,Melancia irrigada,58,blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia,9229,0.81,1.4,-0.08,501950.0,120290.0,52.0,3/25/2021,9/5/2021,3/24/2021
49,2,1/9/2021,Barreiras,Melancia irrigada,124,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est,9587,-1.08,-0.72,-0.54,425350.0,81470.0,-175.0,1/1/2021,8/3/2021,6/27/2021
50,4,9/7/2020,Barreiras,Melancia irrigada,139,pretium iaculis diam erat fermentum justo nec condimentum neque sapien,9977,-0.71,-0.11,-0.65,463350.0,97570.0,-226.0,1/14/2021,6/8/2021,6/6/2021
51,1,4/7/2021,Barreiras,Abobora Irrigada,52,magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum,5880,0.7,-0.86,-0.15,329000.0,41600.0,-17.0,1/18/2021,3/16/2021,5/18/2021
52,2,1/5/2021,Barreiras,Cebola Sequeiro,70,rhoncus sed vestibulum sit amet cursus id turpis integer aliquet,1597,-0.94,2.49,0.96,32850.0,65770.0,495.0,11/11/2020,11/21/2020,2/1/2021
53,1,4/5/2021,Barreiras,Abobora Irrigada,70,nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus,4559,-0.81,0.71,1.7,187450.0,59790.0,895.0,10/2/2020,9/2/2021,5/8/2021
54,4,4/6/2021,Barreiras,Cebola Sequeiro,137,quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum,3039,-1.4,-0.19,-0.33,81950.0,26590.0,-135.0,7/28/2021,9/17/2020,7/30/2021
55,2,1/18/2021,Barreiras,Melancia irrigada,104,lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu,1250,1.25,-0.05,-1.02,125000.0,11500.0,-498.0,6/22/2021,11/17/2020,10/20/2020
56,3,10/16/2020,Barreiras,Abobora Irrigada,47,tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum,8083,1.34,-0.85,0.11,471150.0,63830.0,135.0,5/17/2021,11/22/2020,7/8/2021
57,0,8/7/2021,Barreiras,Abobora Irrigada,59,vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero,1509,-0.64,0.53,-1.27,43450.0,25690.0,-620.0,2/10/2021,4/10/2021,1/29/2021
58,2,2/7/2021,Barreiras,Melancia irrigada,14,odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras,4319,-0.11,0.72,1.17,210450.0,57590.0,628.0,6/4/2021,10/2/2020,5/10/2021
59,2,9/18/2021,Barreiras,Melancia irrigada,5,curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor,6298,-0.41,-0.03,0.81,294400.0,62380.0,467.0,5/3/2021,3/28/2021,12/30/2020
60,2,9/8/2020,Barreiras,Melancia irrigada,137,cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit,8095,-3.19,-1.4,-1.54,245250.0,52950.0,-690.0,2/14/2021,10/12/2020,10/2/2020
61,1,9/1/2020,Barreiras,Abobora Irrigada,69,leo odio porttitor id consequat in consequat ut nulla sed accumsan felis,1573,-0.23,0.54,1.54,67150.0,26530.0,785.0,1/20/2021,7/15/2021,9/22/2020
62,3,1/9/2021,Barreiras,Melancia irrigada,146,morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo,8123,-0.04,0.31,0.59,404150.0,87430.0,376.0,9/18/2020,3/23/2021,9/19/2020
63,1,3/16/2021,Barreiras,Melancia irrigada,114,lorem quisque ut erat curabitur gravida nisi at nibh in hac,5185,-0.41,0.53,-0.87,238750.0,62450.0,-384.0,3/6/2021,3/9/2021,1/15/2021
64,3,11/10/2020,Barreiras,Melancia irrigada,22,molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est,3791,-0.75,1.08,1.11,152050.0,59510.0,592.0,1/24/2021,2/28/2021,7/2/2021
